code,price,price_percent,price_cent,NS_shown,NS,category,product,weight,unit_weight,picture,kcal_100,lipides_100,ags_100,glucides_100,sucres_100,proteines_100,sel_100,fibres_100,scoreFSA,microcategory
1138,2.55,2.55,2.55,0,A,Viandes,2 Steaks hachés pur boeuf 15 % mg<br />&nbsp;,250,g,GAEL_Label4-011.jpg,129,5,2.3,0,0,21,0.23,0,-1,Meat&Fish&Eggs
1190,3.8,3.8,3.8,0,A,Viandes,2 Steaks hachés de viande charolaise<br />façon bouchère 5%mg,250,g,GAEL_Label4-012.jpg,121,4.69,1.64,0,0,19.6,0.14,0,-3,Meat&Fish&Eggs
1178,1.12,1.12,1.12,0,D,Viandes,Côte première de porc<br />&nbsp;,160,g,GAEL-Catalogue-059.jpg,271,23.5,10.5,0,0,15.5,0,0,13,Meat&Fish&Eggs
1181,1.42,1.42,1.42,1,C,Viandes,2 Tranches de rôti de porc<br />&nbsp;,90,g,Label2-67.jpg,119,3,1.1,0.9,0.9,22,1.8,0,4,Meat&Fish&Eggs
1165,3.84,3.84,3.84,0,A,Viandes,2 Filets de poulet<br />&nbsp;,320,g,Label2-51.jpg,108,0.7,0,0,0,25,0,0,-4,Meat&Fish&Eggs
1120,2.98,2.98,2.98,0,A,Viandes,Tranche de gigot d'agneau<br />&nbsp;,200,g,GAEL-Catalogue-gigot.jpg,102,2.57,0.8,0,0,19.6,0.18,0,-4,Meat&Fish&Eggs
1169,3.94,3.94,3.94,0,C,Viandes,Entrecôte de boeuf<br />&nbsp;,180,g,GAEL-Catalogue-entrecote.jpg,227,17,8.06,0,0,18.4,0.14,0,5,Meat&Fish&Eggs
1184,2.82,2.54,2.81,1,B,Viandes,8 Cordons bleus de volaille<br />&nbsp;,800,g,Label2-111.jpg,209,13,3,15,4.5,12,1.6,2.5,2,Meat&Fish&Eggs
1135,2.35,2.12,2.34,1,B,Viandes,Aiguillettes de poulet pané<br />&nbsp;,200,g,Label2-49.jpg,194,8,1.5,12.7,1.7,18,0.6,0.6,0,Meat&Fish&Eggs
1262,1.65,1.98,1.67,1,E,"Jambons, saucissons",Dés de lardons fumés<br />&nbsp;,200,g,GAEL-Catalogue-077.jpg,250,20,7.8,0.4,0.4,17,2.2,0.5,19,Meat&Fish&Eggs
1211,2.31,2.54,2.32,1,D,"Jambons, saucissons",4 Tranches de jambon sec<br />qualité supérieure,100,g,Label2-64.jpg,283,9.1,4.4,1,1,30,2.5,0,17,Meat&Fish&Eggs
1274,1.18,1.18,1.18,1,C,"Jambons, saucissons",2 Tranches de blanc de dinde<br />doré au four,160,g,GAEL-Catalogue-085.jpg,109,2.2,0.6,0.5,0.5,22,2.2,0,5,Meat&Fish&Eggs
1251,1.43,1.43,1.43,1,C,"Jambons, saucissons",2 Tranches de blanc de poulet<br />doré au four,160,g,Label2-65.jpg,102,1.6,0.4,1,1,21,1.8,0,3,Meat&Fish&Eggs
1240,2.08,1.87,2.07,1,B,"Jambons, saucissons",4 Tranches de jambon de Paris<br />sans couenne réduit en sel ,160,g,Label2-63.jpg,117,2.9,1,0.6,0.6,22,1.4,0,2,Meat&Fish&Eggs
1266,1.33,1.33,1.33,1,C,"Jambons, saucissons",2 Tranches de jambon supérieur<br />sans couenne,80,g,Label2-66.jpg,114,2.8,1.1,0.8,0.8,21,1.8,0,4,Meat&Fish&Eggs
1253,1.69,1.69,1.69,1,C,"Jambons, saucissons",2 Tranches de jambon le supérieur<br />avec couenne,80,g,GAEL-Catalogue-095.jpg,136,5.1,1.8,0.6,0.6,22,1.8,0,4,Meat&Fish&Eggs
1218,1.65,1.98,1.67,1,E,"Jambons, saucissons",Saucisse sèche pur porc<br />&nbsp;,200,g,GAEL_Label4-004.jpg,484,41,17,3.5,3.2,23,4.4,0.5,26,Meat&Fish&Eggs
1214,3.96,4.75,3.98,1,E,"Jambons, saucissons",Saucisson sec bio<br />&nbsp;,200,g,Label2-94.jpg,416,34,12,0,0,27,4.6,0,25,Meat&Fish&Eggs
1317,0.92,1.1,0.94,1,E,"Pâtés,  Saucisses",Mousse de canard au porto<br />&nbsp;,100,g,GAEL-Catalogue-099.jpg,433,43,16,2.1,2,9.4,1.5,0,21,Cereals&Potatoes
1388,1.06,1.17,1.07,1,D,"Pâtés,  Saucisses",Terrine de campagne à l'ancienne<br />&nbsp;,180,g,Label2-76.jpg,269,22,9,2,0.5,15,1.5,1.5,15,Cereals&Potatoes
1341,1.77,1.95,1.78,1,D,"Pâtés,  Saucisses",Rillettes du mans<br />&nbsp;,220,g,GAEL-Catalogue-105.jpg,431,40.5,15.2,0.4,0.2,16.2,1.13,2.4,16,Cereals&Potatoes
1389,1.14,1.25,1.15,1,D,"Pâtés,  Saucisses",6 Saucisses de volaille<br />&nbsp;,210,g,GAEL_Label4-003.jpg,238,20,6,1.1,0.8,14,1.9,0,15,Cereals&Potatoes
1335,2.85,3.14,2.86,1,D,"Pâtés,  Saucisses",6 Chipolatas aux herbes<br />&nbsp;,330,g,Label2-50.jpg,272,23.5,8.2,1,1,13.9,1.6,0,17,Cereals&Potatoes
1384,1.39,1.53,1.4,1,D,"Pâtés,  Saucisses",6 Knacki 100% pur porc<br />&nbsp;,210,g,GAEL-Catalogue-104.jpg,267,23,9,2,2,12.5,1.8,1.2,17,Cereals&Potatoes
1372,1.86,2.23,1.88,1,E,"Pâtés,  Saucisses",4 Saucisses de Francfort<br />&nbsp;,220,g,GAEL_Label4-002.jpg,312,7.2,7.2,1.1,1.1,13,2.3,0,20,Cereals&Potatoes
1390,1.25,1.5,1.27,1,E,"Pâtés,  Saucisses",10 tranches de rosette<br />&nbsp;,100,g,Label2-121.jpg,399,33,14,1.5,1,24,4.2,0,24,Cereals&Potatoes
1454,3.2,2.56,3.18,1,A,"Poissons, fruits de mer",4 Tranches de colin surgelées<br />pêché en pacifique nord,400,g,GAEL-Catalogue-109.jpg,70,0.5,0.1,0,0,17,0.4,0,-4,Meat&Fish&Eggs
1484,6.85,5.48,6.83,1,A,"Poissons, fruits de mer","4 Filets de saumon sauvage<br />surgelés, pêché en  pacifique nord",400,g,GAEL-Catalogue-111.jpg,109,3.8,0.7,0.5,0.5,19,0.13,0,-4,Meat&Fish&Eggs
1458,1.59,1.27,1.57,1,A,"Poissons, fruits de mer",Thon albacore au naturel<br />&nbsp;,140,g,Label2-87.jpg,115,1.04,0.38,0,0,26.4,0.72,0,-1,Meat&Fish&Eggs
1468,1.75,1.75,1.75,1,C,"Poissons, fruits de mer",Sardines à l'huile d'olive<br />&nbsp;,87,g,Label2-90.jpg,221,15,3.3,0,0,22,1,0,4,Meat&Fish&Eggs
1466,1.85,2.04,1.86,1,D,"Poissons, fruits de mer",Oeufs de lompe noirs<br />&nbsp;,100,g,Label2-77.jpg,144,7.52,2.23,0,0,19.2,2.43,0,13,Meat&Fish&Eggs
1432,3.21,2.89,3.2,1,B,"Poissons, fruits de mer",20 Bâtonnets de poisson panés<br />&nbsp;,600,g,GAEL-Catalogue-130.jpg,195,8.6,1.1,17,0.3,12,0.93,0.8,1,Meat&Fish&Eggs
1485,3.26,3.26,3.26,1,C,"Poissons, fruits de mer",18 Bâtonnets délices de surimi<br />à la chair de crabe,300,g,Label2-47.jpg,111,4.5,0.4,8.7,3,8.8,1.8,0,3,Meat&Fish&Eggs
1475,2.38,2.62,2.39,1,D,"Poissons, fruits de mer",Tarama aux oeufs de cabillaud<br />&nbsp;,250,g,Label2-78.jpg,577,60.3,4.2,2.5,0.8,5.5,1.4,1,16,Meat&Fish&Eggs
1465,4.69,5.16,4.7,1,D,"Poissons, fruits de mer",4 Tranches de saumon fumé<br />&nbsp;,150,g,GAEL-Catalogue-138.jpg,168,8,1.6,1.2,0,23,3.7,0,13,Meat&Fish&Eggs
1575,2.29,2.29,2.29,0,A,Légumes frais,Haricots verts<br />&nbsp;,1,kg,GAEL-Catalogue-728.jpg,23.9,0.1,0.03,2.75,2.75,1.35,0.71,4.1,-7,Vegetables
1589,0.65,0.65,0.65,0,A,Légumes frais,Concombre<br />&nbsp;,pièce,pièce,GAEL-Catalogue-732.jpg,12,0.19,0.01,1.68,1.68,59,0.01,0.7,-10,Vegetables
1559,1.49,1.49,1.49,0,A,Légumes frais,Courgettes<br />&nbsp;,1,kg,GAEL-Catalogue-730.jpg,20,0.27,0.05,2.49,2.49,1.34,0.01,1.35,-6,Vegetables
1514,2.9,2.9,2.9,0,A,Légumes frais,Aubergines<br />&nbsp;,1,kg,GAEL-Catalogue-731.jpg,35.2,0.2,0.03,6.26,6.26,0.83,0.4,2.5,-6,Vegetables
1584,1.49,1.49,1.49,0,A,Légumes frais,Avocat<br />&nbsp;,pièce,pièce,GAEL-Catalogue-729.jpg,169,16,2.3,3.13,3.13,1.8,0.1,5.6,-7,Vegetables
1587,1.79,1.79,1.79,0,A,Légumes frais,Tomates en grappes<br />&nbsp;,1,kg,GAEL-Catalogue-727.jpg,20.8,0.03,0,3.86,3.86,0.73,0.76,1.5,-4,Vegetables
1526,0.89,0.89,0.89,0,A,Légumes frais,Carottes<br />&nbsp;,1,kg,GAEL-Catalogue-724.jpg,26.6,0.1,0.02,5.09,5.09,0.82,0.13,2,-6,Vegetables
1512,1.29,1.29,1.29,0,B,Légumes frais,Pommes de terre<br />&nbsp;,1,kg,GAEL-Catalogue-726.jpg,89.5,0.22,0.03,19.1,19.1,1.87,0,1.8,2,Vegetables
1531,2.2,2.2,2.2,0,A,Légumes frais,Brocolis<br />&nbsp;,1,kg,GAEL-Catalogue-725.jpg,28.7,0.51,0.12,2.82,2.82,2.1,0.13,2.23,-9,Vegetables
1690,3.49,3.49,3.49,0,A,Fruits frais,Raisin noir<br />&nbsp;,1,kg,GAEL-Catalogue-738.jpg,62,0.25,0.08,15,15,0.5,0,1.3,-3,Fruits
1671,2.6,2.6,2.6,0,A,Fruits frais,Poire williams<br />&nbsp;,1,kg,GAEL-Catalogue-733.jpg,53,0.22,0.03,10.8,10.8,0.39,0,3.03,-7,Fruits
1633,1.89,1.89,1.89,0,A,Fruits frais,Bananes<br />&nbsp;,1,kg,GAEL-Catalogue-735.jpg,93.6,0.23,0.06,20.5,20.5,1.2,0,1,-1,Fruits
1659,2.69,2.69,2.69,0,A,Fruits frais,Oranges<br />&nbsp;,1,kg,GAEL-Catalogue-740.jpg,46.5,0.26,0.05,8.32,8.32,0.96,0.01,1.82,-6,Fruits
1678,2.79,2.79,2.79,0,A,Fruits frais,Citrons<br />&nbsp;,1,kg,GAEL-Catalogue-739.jpg,34.3,0.3,0.09,2.9,2.9,0.8,0.01,2,-7,Fruits
1679,0.4,0.4,0.4,0,A,Fruits frais,Kiwi<br />&nbsp;,pièce,g,GAEL-Catalogue-736.jpg,57.7,0.73,0.04,9.37,9.37,1.1,0.01,2.4,-6,Fruits
1617,1.49,1.49,1.49,0,A,Fruits frais,Pommes golden<br />&nbsp;,1,kg,GAEL-Catalogue-734.jpg,42.4,0.1,0.01,11.3,11.3,0.1,0,1.95,-5,Fruits
1627,2.19,2.19,2.19,0,A,Fruits frais,Pêches jaunes<br />&nbsp;,1,kg,GAEL-Catalogue-905.jpg,53.4,0.25,0.02,11.3,11.3,0.9,0,2,-5,Fruits
1634,2.19,2.19,2.19,0,A,Fruits frais,Melon<br />&nbsp;,1,kg,GAEL-Catalogue-906.jpg,32.1,0.15,0.05,7.25,7.25,0.71,0.03,0.9,-5,Fruits
1791,1.37,1.1,1.35,1,A,Légumes en conserve,Petits pois carottes<br />&nbsp;,265,g,Label2-38.jpg,54,0.5,0.1,7.2,3.4,2.9,0.6,4.5,-9,Vegetables
1734,0.62,0.5,0.6,1,A,Légumes en conserve,Macédoine de légumes<br />&nbsp;,265,g,GAEL-Catalogue-139.jpg,38,0.5,0.1,5,1.1,2.1,0.7,3.4,-7,Vegetables
1771,1.08,0.86,1.06,1,A,Légumes en conserve,Mais doux en grain<br />&nbsp;,285,g,GAEL-Catalogue-145.jpg,101,1.1,0.2,19.1,4,2.5,0.4,2.1,-6,Vegetables
1736,1.04,0.83,1.02,1,A,Légumes en conserve,Champignons de Paris entiers<br />&nbsp;,230,g,Label2-75.jpg,19,0.4,0.1,0.9,0.3,2.2,0.58,2.2,-7,Vegetables
1727,0.78,0.62,0.76,1,A,Légumes en conserve,Petits pois extra fins à l'étuvée<br />&nbsp;,280,g,GAEL-Catalogue-151.jpg,88,0.9,0.2,11,4.4,5.8,0.53,0,-5,Vegetables
1754,1.22,0.98,1.2,1,A,Légumes en conserve,Flageolets verts extra fins<br />&nbsp;,530,g,GAEL-Catalogue-153.jpg,80,0,0,12,0.2,4.9,0.7,5.8,-10,Vegetables
1753,1.71,1.37,1.69,1,A,Légumes en conserve,Haricots verts extra fins<br />&nbsp;,345,g,GAEL-Catalogue-793.jpg,26,0,0,3,0.5,1.6,0.75,3,-6,Vegetables
1746,2.51,2.01,2.49,1,A,Légumes en conserve,Coeurs d'artichauts<br />&nbsp;,240,g,Label2-40.jpg,26,0.1,0,3,1.7,1.8,0.7,2.1,-5,Vegetables
1712,1.65,1.32,1.63,1,A,Légumes en conserve,Lentilles du Berry cuisinées<br />&nbsp;,400,g,GAEL-Catalogue-162.jpg,96,2.1,0.6,12,0.8,5.1,0.99,5.1,-4,Vegetables
1861,1.35,1.08,1.33,1,A,Pommes de terre transformées,Purée de pommes de terre<br />nature déshydratée,125,g,GAEL-Catalogue-165.jpg,346,0.7,0.5,74.3,2.9,7.4,0.06,6.6,-5,Cereals&Potatoes
1895,2.19,1.97,2.18,1,B,Pommes de terre transformées,Pommes dauphines surgelées<br />&nbsp;,600,g,Label2-108.jpg,267,16,2.1,26,2.3,3.5,0.6,2.5,2,Cereals&Potatoes
1860,2.08,1.66,2.06,1,A,Pommes de terre transformées,Quartiers de pommes de terre<br />aux épices douces surgelés,700,g,Label2-109.jpg,141,5,0.6,20,0.5,2.5,0.5,3,-2,Cereals&Potatoes
1845,1.2,1.08,1.19,1,B,Pommes de terre transformées,Purée de pommes de terre surgelée<br />&nbsp;,750,g,GAEL-Catalogue-799.jpg,101,3.1,2.1,15,0.9,2,0.68,1.9,2,Cereals&Potatoes
1831,1.08,1.08,1.08,1,C,Pommes de terre transformées,Pommes noisettes surgelées<br />&nbsp;,480,g,GAEL-Catalogue-180.jpg,184,7.5,0.6,25,0.5,2.5,0.78,0.5,4,Cereals&Potatoes
1877,0.82,0.66,0.8,1,A,Pommes de terre transformées,Frites surgelées pour friteuse<br />&nbsp;,1,kg,Label2-112.jpg,123,3.2,0.4,20,0.5,2.4,0.04,2.5,-3,Cereals&Potatoes
2096,2.58,2.06,2.56,1,A,Pommes de terre transformées,"Poêlée de pommes de terre<br />champignons et lardons, surgelée",700,g,Label2-106.jpg,95,4.5,0.9,8.5,1.8,3,0.73,4,-3,Cereals&Potatoes
1814,1.26,1.01,1.24,1,A,Pommes de terre transformées,Frites surgelées pour micro-ondes<br />&nbsp;,180,g,GAEL-Catalogue-189.jpg,257,13,1,28,0.5,4,0.1,6,-4,Cereals&Potatoes
1953,0.73,0.58,0.71,1,A,"Pâtes, Riz",Coquillettes<br />&nbsp;,500,g,GAEL-Catalogue-191.jpg,359,2,0.5,71.7,3.5,12,0.01,3,-5,Meat&Fish&Eggs
1922,0.92,0.74,0.9,1,A,"Pâtes, Riz",Macaronis aux oeufs frais<br />&nbsp;,250,g,GAEL-Catalogue-195.jpg,372,3.5,0.8,70,6,13.5,0.06,3,-4,Meat&Fish&Eggs
1984,0.9,0.72,0.88,1,A,"Pâtes, Riz",Spaghettis au blé complet<br />&nbsp;,500,g,GAEL_Label4-010.jpg,350,2.5,0.5,65.7,3.5,13,0.01,6.5,-6,Meat&Fish&Eggs
1939,1.15,0.92,1.13,1,A,"Pâtes, Riz",Semoule grains fins<br />prête en 5 minutes,500,g,Label2-30.jpg,360,2,0.3,72,2,12,0.03,3,-5,Meat&Fish&Eggs
1968,1.4,1.12,1.38,1,A,"Pâtes, Riz",Blé précuit<br />&nbsp;,500,g,Label2-31.jpg,355,1.4,0.7,70.5,1.6,12.1,0.03,6.1,-6,Meat&Fish&Eggs
1925,1.44,1.15,1.42,1,A,"Pâtes, Riz",Riz basmati<br />&nbsp;,500,g,GAEL-Catalogue-201.jpg,353,0.9,0,76,0.2,9.3,0,0.2,-1,Meat&Fish&Eggs
2036,3.2,2.56,3.18,1,A,Légumes cuisinés,Poêlée de légumes grillés<br />&nbsp;,750,g,Label2-110.jpg,47,1.5,0.2,5.8,5.3,1.3,0.66,2.3,-5,Vegetables
